"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"123","7/14/2020","Nicaragua","2846","91","1993","-85.0305289","12.8470963"
"124","7/14/2020","Netherlands","51361","6154","193","5.2814735","52.1008080"
"125","7/14/2020","Norway","8988","253","8138","15.3483297","68.7501441"
"126","7/14/2020","Nepal","17061","38","10328","83.9158367","28.2489136"
"127","7/14/2020","New Zealand","1545","22","1498","171.4849539","-41.8111283"
"128","7/14/2020","Oman","59568","273","37987","56.0916597","20.6051541"
"129","7/14/2020","Panama","47173","932","23919","-80.1191515","8.5175119"
"130","7/14/2020","Peru","330123","12054","221008","-74.3824289","-9.1528028"
"131","7/14/2020","Papouasie-Nouvelle-Guinea","11","0","8","#N/A","#N/A"
"132","7/14/2020","Philippines","57545","1603","20459","122.8839215","11.7753974"
"133","7/14/2020","Pakistan","253604","5320","170656","69.3395803","29.9497522"
"134","7/14/2020","Poland","38457","1588","27756","19.3901184","52.1275954"
"135","7/14/2020","Palestine","6764","44","1084","#N/A","#N/A"
"136","7/14/2020","Portugal","47051","1668","31550","-8.5010551","39.5955025"
"137","7/14/2020","Paraguay","2980","25","1293","-58.4001408","-23.2282390"
"138","7/14/2020","Qatar","104533","150","101160","51.1847851","25.3060094"
"139","7/14/2020","Romania","33585","1931","21803","24.9729329","45.8524294"
"140","7/14/2020","Republic of Serbia","18983","418","13991","20.7895812","44.2215031"
"141","7/14/2020","Russia","738787","11597","511958","96.6865735","61.9805217"
"142","7/14/2020","Rwanda","1378","4","710","29.9198911","-1.9903320"
"143","7/14/2020","Saudi Arabia","237803","2283","177560","44.5368704","24.1224547"
"144","7/14/2020","Seychelles","100","0","11","55.4760200","-4.6609782"
"145","7/14/2020","Sudan","10316","657","5403","29.9404723","15.9903543"
"146","7/14/2020","Sweden","76001","5545","0","16.7437122","62.7923202"
"147","7/14/2020","Singapore","46630","27","42737","103.8172532","1.3587707"
"148","7/14/2020","Slovenia","1859","111","1488","14.8044464","46.1155544"
"149","7/14/2020","Slovakia","1908","28","1493","19.4790521","48.7054718"
"150","7/14/2020","Sierra Leone","1642","63","1175","-11.7927121","8.5632907"
"151","7/14/2020","San Marino","699","42","656","12.4592303","43.9418694"
"152","7/14/2020","Senegal","8243","150","5580","-14.4734890","14.3662438"
"153","7/14/2020","Somalia","3072","93","1343","45.7071624","4.7506519"
"154","7/14/2020","Suriname","780","18","526","-55.9123483","4.1305538"
"155","7/14/2020","South Sudan","2148","41","333","30.2479006","7.3087758"
"156","7/14/2020","Sao Tome and Principe","732","14","286","6.7242964","0.4439085"
"157","7/14/2020","El Salvador","10303","278","5919","-88.8716446","13.7394401"
"158","7/14/2020","Syria","439","21","138","38.5078794","35.0254725"
"159","7/14/2020","Eswatini","1389","20","688","#N/A","#N/A"
"160","7/14/2020","Tchad","880","75","792","#N/A","#N/A"
"161","7/14/2020","Togo","721","15","517","0.9623212","8.5252980"
"162","7/14/2020","Thailand","3227","58","3091","101.0028835","15.1181635"
"163","7/14/2020","Tajikistan","6596","55","5278","71.0136331","38.5304512"
"164","7/14/2020","East Timor","24","0","24","125.8443864","-8.8288854"
"165","7/14/2020","Tunisia","1302","50","1082","9.5528829","34.1195666"
"166","7/14/2020","Turkey","214001","5382","195671","35.1689553","39.0616034"
"167","7/14/2020","Trinidad and Tobago","133","8","124","-61.2656580","10.4573576"
"168","7/14/2020","Taiwan","451","7","438","120.9542726","23.7540034"
"169","7/14/2020","Tanzania","509","21","183","#N/A","#N/A"
"170","7/14/2020","Ukraine","55931","1429","28021","31.3832579","48.9965678"
"171","7/14/2020","Uganda","1040","0","984","32.3690754","1.2746902"
"172","7/14/2020","Unites States Of America","3374654","135802","1031939","#N/A","#N/A"
"173","7/14/2020","Uruguay","989","31","903","-56.0180680","-32.7995198"
"174","7/14/2020","Uzbekistan","13993","65","8074","63.1400180","41.7555408"
"175","7/14/2020","Vatican","12","0","12","12.4338626","41.9017410"
"176","7/14/2020","Saint Vincent and the Grenadines","35","0","29","-61.2012944","13.2247184"
"177","7/14/2020","Venezuela","9707","93","2671","-66.1818409","7.1242240"
"178","7/14/2020","Vietnam","373","0","352","106.2991386","16.6460145"
"179","7/14/2020","Kosovo","5118","108","2370","20.8724961","42.5707842"
"180","7/14/2020","Yemen","1498","424","675","47.5867601","15.9092765"
"181","7/14/2020","South Africa","287796","4172","138241","25.0838838","-29.0003377"
"182","7/14/2020","Zambia","1895","42","1412","27.7747508","-13.4582454"
"183","7/14/2020","Zimbabwe","1034","19","343","29.8514503","-19.0042059"
"184","7/13/2020","Zimbabwe","1034","19","343","29.8514503","-19.0042059"
"185","7/13/2020","Zambia","1895","42","1412","27.7747508","-13.4582454"
