"Date","Pays","Infections","Deces","Guerisons","TauxDeces","TauxGuerison","TauxInfection","long","lat"
"7/13/2020","Madagascar","5080","37","2494","0.73","49.09","50.18","46.7047375","-19.371896"
"7/13/2020","Montenegro","1287","24","330","1.86","25.64","72.49","19.2388382","42.7889115"
"7/13/2020","Saint Martin","43","3","37","6.98","86.05","6.98","-63.0597162","18.0888933"
"7/13/2020","Moldova","19439","649","12793","3.34","65.81","30.85","28.4567374","47.1949932"
"7/13/2020","Monaco","109","4","97","3.67","88.99","7.34","7.4062805","43.7527611"
"7/13/2020","Morocco","15936","255","12934","1.6","81.16","17.24","-8.4561605","29.8376279"
"7/13/2020","Libya","1512","40","367","2.65","24.27","73.08","18.0086578","27.0309425"
"7/13/2020","Latvia","1174","31","1019","2.64","86.8","10.56","24.9123704","56.8508531"
"7/13/2020","Luxembourg","4956","111","4183","2.24","84.4","13.36","6.0718268","49.7672469"
"7/13/2020","Lithuania","1874","79","1571","4.22","83.83","11.95","23.8872004","55.3261108"
"7/13/2020","Lesotho","245","3","33","1.22","13.47","85.31","28.2272277","-29.5800467"
"7/13/2020","Liberia","1024","51","439","4.98","42.87","52.15","-9.3220778","6.4527827"
"7/13/2020","Sri Lanka","2646","11","1981","0.42","74.87","24.72","80.7010779","7.6126631"
"7/13/2020","Liechtenstein","84","1","81","1.19","96.43","2.38","9.5357359","47.1366545"
"7/13/2020","Sainte Lucia","22","0","19","0","86.36","13.64","#N/A","#N/A"
"7/13/2020","Lebanon","2419","36","1423","1.49","58.83","39.69","35.8801633","33.9230699"
"7/13/2020","Laos","19","0","19","0","100","0","103.7377213","18.5021797"
"7/13/2020","Kazakhstan","61755","375","35911","0.61","58.15","41.24","67.2914966","48.1568795"
"7/13/2020","kuwait","55508","393","45356","0.71","81.71","17.58","47.5869936","29.3343168"
"7/13/2020","South Korea","13512","289","12282","2.14","90.9","6.96","127.8391693","36.3852463"
"7/13/2020","Saint Kitts andNevis","17","0","15","0","88.24","11.76","#N/A","#N/A"
"7/13/2020","Comoros","317","7","296","2.21","93.38","4.42","43.682381","-11.8777757"
"7/13/2020","Cambodia","165","0","133","0","80.61","19.39","104.9069431","12.7200493"
"7/13/2020","Kyrgyzstan","11444","149","3538","1.3","30.92","67.78","74.5416555","41.4622179"
"7/13/2020","Kenya","10294","197","2946","1.91","28.62","69.47","37.7959444","0.5998746"
